 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
6.82,2.03,0.06,0.4,0.2
1.61,1.39,0.5,0.8,0.2
5.22,0.65,0.92,4.82,0.4
16.05,0.6,0.38,6.02,0.4
10.23,0.29,0.18,1.81,0.4
9.43,0.25,0.06,0.6,0.4
6.82,0.33,0.21,1.4,0.2
9.83,2.19,0.43,4.21,0.2
12.84,0.84,0.34,4.41,0.2
12.24,0.28,0.18,2.21,0.4
7.42,0.58,0.62,4.62,0
14.25,0.8,0.34,4.82,0.6
17.26,0.65,0.27,4.62,0.8
15.25,0.52,0.22,3.41,0.4
13.24,0.71,0.26,3.41,0.4
21.67,1,0.35,7.63,0.6
19.06,0.38,0.11,2.01,0.2
15.45,0.63,0.36,5.62,1.2
16.25,0.73,0.28,4.62,0.4
18.66,0.55,0.24,4.41,0.8
15.85,0.27,0.09,1.4,0.6
14.05,0.76,0.57,8.03,0.4
15.85,1.29,0.38,6.02,0.2
36.92,0.35,0.1,3.81,0.6
19.26,0.42,0.19,3.61,0.4
9.63,0.94,0.21,2.01,1
28.09,1.03,0.41,11.64,1.2
13.44,0.77,0.46,6.22,0
23.28,0.48,0.17,4.01,0.6
25.08,0.64,0.29,7.22,0.8
12.84,0.88,0.19,2.41,1.2
14.65,0.83,0.29,4.21,1
25.28,0.7,0.24,6.02,0.4
24.28,0.42,0.12,2.81,0
12.44,0.62,0.31,3.81,0.6
18.66,0.95,0.35,6.62,0.4
50.37,0.83,0.19,9.63,0.6
27.29,0.29,0.15,4.21,0.8
23.08,0.28,0.05,1.2,1.2
10.84,0.53,0.24,2.61,1.2
4.82,1.21,0.92,4.41,0.4
13.44,1.07,0.45,6.02,0.4
18.46,0.45,0.05,1,0.4
26.49,0.59,0.25,6.62,0.6
23.08,0.41,0.06,1.4,0.4
20.27,0.62,0.34,6.82,0.8
28.29,1.16,0.45,12.84,0.8
35.32,0.5,0.11,4.01,0.6
7.63,0.31,0.11,0.8,0.4
7.42,0.63,0.73,5.42,0.4
18.46,1.2,0.57,10.43,0.2
35.52,0.75,0.21,7.63,0.4
31.51,0.37,0.1,3.01,0.2
25.69,0.61,0.05,1.4,0.4
15.25,0.71,0.3,4.62,0.8
13.65,0.51,0.19,2.61,0.4
15.45,0.49,0.25,3.81,0
16.66,0.55,0.28,4.62,0
26.69,0.74,0.21,5.62,0.8
27.89,0.6,0.25,7.02,0.2
27.29,0.5,0.24,6.42,0.6
24.28,0.57,0.27,6.62,1.61
20.67,0.52,0.31,6.42,0.6
18.46,0.54,0.4,7.42,0.4
27.09,1.04,0.56,15.05,0.6
23.28,0.81,0.04,1,0.4
21.47,0.54,0.19,4.01,0
17.46,1,0.32,5.62,0.2
18.06,0.66,0.13,2.41,0.6
12.24,0.48,0.18,2.21,0.6
12.04,0.43,0.18,2.21,0.4
21.67,0.73,0.4,8.63,0.4
24.08,0.67,0.28,6.82,0.8
28.29,0.94,0.37,10.43,0.8
31.51,0.23,0.08,2.61,0.8
12.64,0.24,0.03,0.4,2.01
8.83,0.31,0.18,1.61,0.6
11.64,0.47,0.47,5.42,0.8
25.69,0.53,0.3,7.83,0.8
14.85,0.56,0.36,5.42,0.2
14.65,1.05,0.34,5.02,0.4
32.51,0.78,0.38,12.24,0.8
26.09,0.44,0.16,4.21,0.4
9.63,0.3,0.15,1.4,0.4
7.02,0.35,0.77,5.42,0.6
5.42,0.42,0.52,2.81,0.6
8.03,0.81,0.9,7.22,0
24.08,0.43,0.33,8.03,0.4
18.86,0.78,0.84,15.85,0.2
23.88,0.41,0.25,6.02,0.8
