 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
22.27,0.57,0.37,8.23,0.6
20.47,0.45,0.4,8.23,0
12.04,0.67,0.5,6.02,0
11.24,0.62,0.45,5.02,0.4
15.05,0.47,1,15.05,0.2
22.48,0.41,0.43,9.63,0
20.47,0.37,0.4,8.23,0.4
11.24,0.37,0.41,4.62,0
9.83,0.35,0.43,4.21,0.8
8.03,0.41,0.8,6.42,0
14.05,0.5,0.81,11.44,0.8
17.66,0.69,1.07,18.86,0.6
25.69,0.68,0.41,10.43,0.6
30.9,0.54,0.33,10.23,0.8
16.86,0.35,0.17,2.81,0.4
10.84,0.33,0.22,2.41,0.6
11.04,0.55,0.55,6.02,0.4
12.24,0.57,0.9,11.04,0.2
13.65,2.1,0.91,12.44,0.4
18.86,0.48,0.52,9.83,0.6
21.07,0.28,0.28,5.82,0.4
11.64,0.39,0.84,9.83,0.2
14.65,0.37,0.71,10.43,0.8
14.25,0.44,0.66,9.43,0.4
17.86,0.34,0.29,5.22,0.6
11.64,0.59,0.24,2.81,0.8
16.05,0.45,0.45,7.22,1
15.25,0.56,0.64,9.83,0.6
5.62,0.48,0.54,3.01,0.8
6.02,0.38,0.37,2.21,0.4
5.62,0.53,1.14,6.42,0.4
7.63,0.38,0.37,2.81,0.4
10.84,0.47,0.33,3.61,0.4
6.02,0.44,0.7,4.21,0.4
7.63,0.41,0.45,3.41,0.4
3.01,0.4,0.4,1.2,0
5.22,0.45,0.69,3.61,0
9.43,0.48,0.47,4.41,0.4
4.62,0.36,0.52,2.41,0.4
4.41,0.4,0.59,2.61,0
4.01,0.29,0.6,2.41,0.4
3.21,0.29,1,3.21,0.6
2.41,0.31,1.08,2.61,0.4
2.41,0.47,0.67,1.61,0
9.03,0.5,0.87,7.83,0
8.43,0.43,0.69,5.82,0.2
6.42,0.51,0.84,5.42,0.4
10.84,0.34,0.74,8.03,0
12.04,0.32,0.4,4.82,0
10.84,0.39,0.56,6.02,0
6.42,0.34,0.88,5.62,0
8.23,0.41,1.2,9.83,0.2
14.45,0.34,0.82,11.84,0.2
8.63,0.42,0.77,6.62,0
9.63,0.34,0.54,5.22,0.2
14.05,0.36,0.37,5.22,0.8
10.64,0.28,0.23,2.41,0.4
10.23,0.38,0.57,5.82,0
22.27,0.31,0.77,17.06,0.6
14.45,0.33,0.6,8.63,0.2
13.85,0.28,0.45,6.22,0
11.64,0.33,0.62,7.22,0
8.03,0.35,0.65,5.22,0.4
7.42,0.44,0.59,4.41,0.4
14.65,0.53,0.7,10.23,0.6
21.47,0.47,0.57,12.24,0
14.65,0.45,0.6,8.83,0
24.68,0.46,0.46,11.24,0.4
13.44,0.33,0.39,5.22,0.2
11.04,0.34,0.6,6.62,0
7.42,0.23,0.35,2.61,0
10.23,0.29,0.49,5.02,0.2
11.24,0.29,0.71,8.03,0.4
5.22,0.4,0.69,3.61,0.4
9.43,1.66,0.57,5.42,0.8
8.03,0.44,0.75,6.02,0.4
16.45,0.28,0.48,7.83,0.6
10.43,0.31,0.33,3.41,0.8
9.03,0.37,1.07,9.63,0.4
7.83,0.4,1.03,8.03,0.2
12.44,0.28,0.58,7.22,0.6
14.45,0.18,0.36,5.22,0
9.83,0.15,0.18,1.81,0.6
2.41,0.34,0.58,1.4,0
3.61,0.31,0.33,1.2,0
5.82,0.28,1.03,6.02,0
9.03,0.23,0.6,5.42,0.2
0.8,0.19,1,0.8,0
1.2,0.28,0.67,0.8,0
4.82,0.24,0.33,1.61,0.4
5.42,0.24,0.48,2.61,0
11.64,0.27,0.47,5.42,0
9.63,0.48,0.6,5.82,0.2
6.02,0.23,0.23,1.4,0.6
3.41,0.22,0.41,1.4,0
9.63,0.89,0.42,4.01,0.8
4.41,0.18,0.14,0.6,0
5.22,0.2,0.31,1.61,0
3.81,0.24,0.42,1.61,0
4.01,0.22,0.9,3.61,0.2
9.63,0.27,0.35,3.41,0
5.22,0.26,0.92,4.82,0.2
7.83,0.27,0.59,4.62,0.4
5.82,0.16,0.72,4.21,1.4
8.83,0.29,0.48,4.21,0
4.82,0.24,0.54,2.61,0.4
2.41,0.2,0.58,1.4,0.8
