 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
16.86,0.28,0.15,2.61,2.41
7.83,0.23,0.13,1,0.8
6.02,0.33,0.4,2.41,1.2
5.82,0.8,0.83,4.82,1.4
23.28,0.78,0.5,11.64,0.6
16.86,0.62,0.48,8.03,0.8
34.72,0.28,0.18,6.22,1.4
23.68,0.21,0.13,3.01,1
15.25,0.23,0.13,2.01,1.4
11.84,0.3,0.37,4.41,1.2
14.25,0.51,0.37,5.22,1.4
20.67,0.54,0.53,11.04,0.8
30.5,0.44,0.34,10.23,0.2
30.3,0.53,0.44,13.44,3.01
25.89,0.24,0.16,4.01,4.62
24.08,0.17,0.05,1.2,3.01
10.03,0.25,0.28,2.81,1.2
7.63,0.59,0.29,2.21,0.6
26.49,0.82,0.63,16.66,4.21
41.94,0.3,0.13,5.62,1.4
35.92,0.25,0.15,5.22,3.21
26.89,0.4,0.41,11.04,3.01
23.28,0.24,0.16,3.61,2.01
19.26,0.36,0.59,11.44,2.01
25.69,1.51,1,25.69,3.81
77.06,0.54,0.19,14.65,5.22
57.19,0.19,0.09,5.42,6.42
31.91,0.19,0.05,1.61,12.84
15.25,0.4,0.88,13.44,11.84
24.08,0.27,0.24,5.82,6.22
23.48,0.41,0.59,13.85,5.82
34.52,0.88,1.05,36.32,6.62
42.54,0.27,0.18,7.63,6.62
30.5,0.43,0.59,18.06,4.62
42.74,0.46,0.51,21.67,3.21
51.77,0.5,0.33,16.86,8.43
31.3,0.23,0.06,1.81,8.23
15.05,0.42,0.72,10.84,9.43
28.29,0.66,0.72,20.27,7.83
36.32,0.21,0.46,16.66,1.2
36.72,0.17,0.23,8.43,2.41
48.16,0.18,0.3,14.25,1.81
73.65,0.14,0.29,21.47,3.21
28.29,0.36,0.26,7.42,0.8
27.09,0.35,0.2,5.42,3.21
45.35,0.71,0.54,24.68,1.61
42.94,0.81,0.21,8.83,2.01
19.67,0.99,0.06,1.2,2.01
12.44,0.75,0.4,5.02,3.41
18.26,0.55,0.29,5.22,1.81
31.1,0.36,0.24,7.42,0.8
28.09,0.4,0.36,10.23,0.4
15.45,0.55,0.7,10.84,0.4
40.54,0.24,0.12,5.02,2.81
47.16,0.51,0.3,14.05,1.81
20.07,0.21,0.03,0.6,2.81
13.04,0.39,0.4,5.22,3.61
18.26,0.5,0.44,8.03,1.2
34.52,0.15,0.88,30.3,0.4
49.36,0.33,0.09,4.21,3.21
44.35,0.28,0.11,4.82,4.21
11.64,0.14,0.1,1.2,1
9.43,0.18,0.49,4.62,2.01
20.07,0.42,0.52,10.43,4.82
29.1,0.52,0.46,13.24,1.2
52.37,0.82,0.57,29.7,1.4
57.79,0.2,0.06,3.21,2.21
35.12,0.14,0.06,2.01,4.41
15.85,0.39,0.65,10.23,3.61
17.26,0.53,0.53,9.23,0.8
33.71,0.22,0.18,6.02,1
13.04,0.29,0.28,3.61,1
17.86,1.06,0.79,14.05,3.21
42.14,0.5,0.17,7.22,0.6
35.32,0.16,0.04,1.4,1.61
18.26,0.25,0.14,2.61,2.41
11.44,0.48,0.88,10.03,3.01
21.67,0.43,0.29,6.22,1
25.28,0.44,0.37,9.43,1.4
30.5,0.87,0.59,17.86,2.41
35.32,0.19,0.07,2.61,1.81
27.29,0.52,0.68,18.46,5.02
20.47,0.23,0.12,2.41,1.81
14.65,0.47,0.59,8.63,2.81
12.84,0.37,0.27,3.41,1.4
17.46,0.46,0.66,11.44,0.6
30.9,1.19,0.74,22.88,2.81
57.59,0.37,0.23,13.44,4.41
41.54,0.21,0.09,3.81,7.83
21.47,0.25,0.21,4.41,9.03
17.26,0.47,0.57,9.83,5.42
18.26,0.53,0.68,12.44,3.01
27.89,0.91,0.69,19.26,4.62
53.98,0.37,0.13,7.02,3.81
26.89,0.19,0.09,2.41,3.21
24.28,0.73,0.57,13.85,2.41
18.86,0.31,0.29,5.42,1.61
4.41,0.61,0.23,1,0.4
33.31,0.96,0.68,22.68,1.81
81.67,0.55,0.53,43.34,2.81
18.46,0.13,0.16,3.01,0.6
14.45,0.29,0.1,1.4,4.01
24.48,0.48,0.27,6.62,0
22.07,0.38,0.28,6.22,1.2
17.26,0.45,0.44,7.63,1.4
27.69,0.47,0.3,8.23,0.2
37.32,0.42,0.3,11.24,1.61
34.31,0.74,0.34,11.64,1.2
57.79,0.14,0.08,4.41,2.81
27.29,0.15,0.02,0.6,1
13.65,0.39,0.47,6.42,2.21
13.44,0.9,0.6,8.03,1
30.7,0.81,0.46,14.25,0.6
37.53,0.42,0.19,7.02,1
30.3,0.37,0.13,4.01,2.01
18.46,0.38,0.23,4.21,1.4
13.65,0.51,0.69,9.43,1.4
14.85,0.48,0.18,2.61,0.2
32.71,0.42,0.33,10.64,1.2
45.95,0.84,0.55,25.08,3.01
46.15,0.26,0.06,2.61,2.81
29.7,0.24,0.09,2.61,1.61
8.03,0.34,0.47,3.81,1.2
20.87,0.66,0.38,8.03,0.4
50.37,0.67,0.2,9.83,1.61
55.59,0.41,0.18,10.03,3.21
34.92,0.46,0.18,6.22,3.01
27.49,0.41,0.09,2.41,4.21
12.24,0.43,0.36,4.41,2.61
11.04,0.41,0.33,3.61,1.81
3.21,0.45,0.38,1.2,0
44.95,0.3,0.14,6.22,1.4
24.08,0.32,0.08,2.01,3.01
16.66,0.42,0.29,4.82,3.41
10.64,0.82,0.81,8.63,1.4
6.42,0.66,0.31,2.01,0.4
37.32,0.55,0.32,12.04,0.6
35.72,0.32,0.16,5.62,1
25.49,0.17,0.06,1.61,1.81
11.64,0.61,0.6,7.02,3.01
24.28,0.72,0.43,10.43,0.6
27.29,0.2,0.06,1.61,0.4
18.06,0.39,0.38,6.82,1.61
18.06,0.29,0.27,4.82,1
6.82,0.11,0.32,2.21,0.2
14.45,0.71,0.21,3.01,0
13.44,0.42,0.21,2.81,0.4
25.89,0.72,0.71,18.46,0.2
26.09,0.24,0.1,2.61,0.4
13.65,1.44,0.28,3.81,0.4
25.08,0.67,0.39,9.83,0.8
16.66,0.46,0.19,3.21,1.61
22.68,0.37,0.27,6.02,0.6
10.43,0.43,0.71,7.42,2.21
27.09,0.64,0.26,7.02,1.4
22.48,1.11,0.13,3.01,1.2
17.06,0.47,0.46,7.83,1.81
31.91,0.42,0.11,3.61,2.21
26.69,0.47,0.05,1.2,1.81
17.86,0.45,0.25,4.41,1.61
16.25,0.44,0.17,2.81,1.2
17.46,0.73,0.41,7.22,0.8
19.87,0.33,0.06,1.2,0.4
18.46,0.42,0.11,2.01,1
15.45,0.82,0.51,7.83,1.61
33.11,0.71,0.25,8.43,1.4
38.13,0.41,0.13,4.82,0.8
18.26,0.83,0.46,8.43,1.61
26.29,0.48,0.13,3.41,0.6
19.26,0.56,0.22,4.21,0.6
22.48,0.65,0.27,6.02,0.4
21.67,0.77,0.56,12.24,0.8
30.7,0.3,0.09,2.81,2.41
25.49,0.52,0.21,5.42,2.21
43.14,1.26,0.22,9.63,7.42
30.9,0.22,0.05,1.61,1.2
19.06,0.11,0.12,2.21,1.61
2.61,0.58,0.23,0.6,0
10.03,0.88,0.62,6.22,1.61
33.71,0.87,0.35,11.64,2.21
34.31,0.4,0.07,2.41,0.8
36.92,0.46,0.14,5.22,1.61
26.29,0.29,0.09,2.41,0.4
21.67,0.12,0.24,5.22,1.2
23.68,0.73,0.33,7.83,1.61
42.54,0.58,0.26,11.04,0.8
21.67,0.39,0.29,6.22,3.01
25.49,0.39,0.14,3.61,1.2
20.87,0.36,0.16,3.41,1
13.24,0.47,0.33,4.41,2.81
19.47,1.16,0.34,6.62,1.2
18.86,0.64,0.45,8.43,0.8
41.74,0.25,0.08,3.41,0.4
23.88,0.51,0.33,7.83,1.2
37.73,0.41,0.09,3.21,1.61
40.94,0.71,0.09,3.81,1.2
26.69,0.61,0.06,1.61,0.8
19.26,1.04,0.74,14.25,1
31.3,0.54,0.31,9.83,2.41
34.92,1.44,0.16,5.62,8.83
23.68,0.47,0.57,13.44,7.02
20.27,0.35,0.15,3.01,3.41
17.86,0.45,0.6,10.64,5.62
23.28,0.42,0.53,12.44,2.81
36.92,0.78,0.71,26.29,4.21
32.31,0.18,0.11,3.41,3.61
24.68,0.64,0.67,16.45,5.62
28.9,0.71,0.78,22.48,4.41
38.93,0.33,0.2,7.63,7.42
16.45,0.38,0.52,8.63,8.03
23.28,0.89,0.73,17.06,6.02
26.89,0.57,0.25,6.82,6.02
25.69,0.13,0.03,0.8,1.2
19.87,0.36,0.56,11.04,1.2
36.52,0.36,0.27,9.83,0.8
53.18,0.36,0.13,6.82,0.4
77.26,0.27,0.52,39.93,2.01
140.87,0.13,0.02,3.01,1
86.09,0.15,0.02,1.61,3.01
20.27,0.1,0.14,2.81,0.6
15.65,0.6,0.37,5.82,1.4
58.6,1.63,0.8,46.76,1.2
99.93,1.54,0.63,62.61,1.61
225.55,0.43,0.02,5.62,5.02
56.79,0.46,0.04,2.01,25.28
13.85,0.32,0.45,6.22,1.61
9.03,0.58,0.33,3.01,0.4
27.29,1.15,0.52,14.25,1.61
48.56,1.91,0.42,20.47,1.2
69.23,0.65,0.06,4.41,3.21
46.35,0.53,0.15,7.02,1.61
26.29,0.28,0.05,1.2,1.61
11.64,0.27,0.24,2.81,0.6
8.63,0.58,0.12,1,0.4
15.25,0.91,0.61,9.23,0.6
33.31,1.1,0.5,16.66,1.81
34.31,0.67,0.33,11.44,0.8
39.93,0.47,0.29,11.64,0.4
20.07,0.47,0.43,8.63,1.4
19.87,0.67,0.41,8.23,0.8
44.35,1.26,0.64,28.5,0.6
63.21,0.65,0.21,13.44,1.2
41.54,0.37,0.07,3.01,3.21
28.9,0.44,0.24,6.82,3.41
18.66,0.43,0.3,5.62,0.6
19.67,0.52,0.22,4.41,0.6
10.64,0.66,0.68,7.22,2.41
37.73,1.2,0.25,9.43,2.21
36.52,0.44,0.24,8.83,1.2
21.07,0.54,0.22,4.62,4.41
30.3,0.77,0.41,12.44,4.62
35.32,0.57,0.35,12.24,2.81
20.27,0.31,0.12,2.41,2.01
14.65,0.46,0.56,8.23,1.81
21.07,0.77,0.56,11.84,0.6
34.52,0.87,0.42,14.65,0.8
38.73,0.49,0.09,3.41,0.4
23.68,0.36,0.05,1.2,1.4
13.44,0.65,0.51,6.82,1
27.49,0.68,0.41,11.24,0.4
36.52,0.79,0.41,14.85,0.4
