 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
5.42,0.83,0,0,0.4
18.26,0.7,0.38,7.02,0
17.86,0.38,0.19,3.41,0.4
21.07,0.41,0.32,6.82,0.4
17.46,0.39,0.2,3.41,0.2
15.85,0.91,0.91,14.45,1
36.12,0.3,0.07,2.61,4.01
18.86,0.77,0.45,8.43,3.41
31.3,0.42,0.14,4.41,1.2
16.66,0.24,0.11,1.81,1.4
7.83,0.51,0.23,1.81,0.4
23.08,0.62,0.5,11.44,1.2
23.88,0.32,0.15,3.61,1.61
18.66,0.67,0.4,7.42,1.2
26.49,0.25,0.12,3.21,3.01
8.23,0.38,0.59,4.82,2.01
19.47,1.64,0.6,11.64,1.2
23.48,0.69,0.5,11.64,1
27.89,0.27,0.12,3.21,1.81
19.06,1.23,0.88,16.86,1.61
23.48,0.99,0.29,6.82,0.4
29.7,0.18,0.41,12.24,0.8
38.53,0.26,0.32,12.24,0.8
11.64,0.94,0.81,9.43,4.21
23.48,0.62,0.3,7.02,0.8
20.87,1.21,0.57,11.84,1.4
33.91,0.25,0.1,3.41,2.21
14.65,0.36,0.18,2.61,1
17.66,0.46,0.17,3.01,2.41
11.84,0.62,0.41,4.82,1.61
12.84,0.76,0.33,4.21,1.81
22.27,0.56,0.25,5.62,0.8
23.28,0.6,0.38,8.83,1.61
28.9,1.21,0.61,17.66,2.61
55.18,0.15,0.08,4.62,1.4
24.88,0.13,0.01,0.2,4.62
7.02,0.21,0.26,1.81,4.82
8.83,0.97,0.23,2.01,2.41
11.04,1.35,1.31,14.45,3.41
26.49,0.71,0.42,11.04,1
33.31,0.43,0.15,5.02,2.21
21.47,0.35,0.2,4.21,4.41
12.64,0.47,0.35,4.41,2.21
12.24,0.77,0.44,5.42,2.41
9.03,0.86,0.47,4.21,1.61
52.37,1.02,0.39,20.47,1.4
40.94,0.29,0.14,5.62,1.61
33.71,0.65,0.45,15.05,6.82
16.25,0.3,0.17,2.81,2.21
12.84,0.22,0.13,1.61,2.21
9.63,0.35,0.46,4.41,1.2
12.64,1.51,0.62,7.83,2.61
34.52,1.01,0.59,20.47,3.61
41.94,0.28,0.1,4.21,1.2
25.08,0.28,0.05,1.2,1.2
23.08,0.75,0.67,15.45,1.2
25.89,0.49,0.35,9.03,1.4
33.91,0.36,0.25,8.43,2.41
52.17,0.64,0.61,31.91,3.01
52.37,0.16,0.13,7.02,3.41
27.89,0.09,0.02,0.6,5.42
5.42,0.56,0.81,4.41,4.21
39.93,0.57,0.2,8.03,1.2
39.53,0.61,0.21,8.43,1
36.92,0.37,0.26,9.63,0.6
21.07,0.44,0.5,10.43,1.2
17.26,0.2,0.05,0.8,0.4
17.46,0.42,0.37,6.42,0.4
22.88,0.94,0.7,16.05,2.01
41.74,0.33,0.18,7.63,3.01
19.47,0.28,0.2,3.81,1.4
18.46,0.51,0.49,9.03,2.21
38.73,0.81,0.39,15.25,1.4
39.73,0.19,0.13,5.02,1.61
21.47,0.1,0.09,2.01,0.8
13.24,0.32,0.56,7.42,5.22
15.65,0.76,0.63,9.83,3.81
26.09,0.58,0.58,15.05,3.41
35.12,0.57,0.39,13.65,3.61
47.76,0.4,0.41,19.67,4.21
47.56,0.35,0.35,16.66,3.41
43.14,0.29,0.22,9.63,5.82
31.1,0.33,0.3,9.23,7.02
30.3,0.31,0.35,10.64,5.02
28.7,0.3,0.32,9.23,3.41
23.08,0.3,0.32,7.42,2.41
23.08,0.32,0.43,10.03,1.81
20.67,0.38,0.25,5.22,1.2
25.49,0.85,0.53,13.44,1.81
41.54,0.25,0.05,2.01,1.2
38.13,0.33,0.07,2.81,1.61
12.84,0.35,0.3,3.81,3.01
17.26,0.37,0.24,4.21,1.4
20.07,1,0.81,16.25,1.81
38.93,0.34,0.2,7.83,1.2
21.47,0.22,0.2,4.21,1.2
21.07,0.31,0.22,4.62,4.41
