 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
31.1,3.98,0.56,17.46,0.8
32.91,2.49,0.55,18.06,2.21
65.82,2.28,0.33,21.67,3.61
80.07,2.46,0.5,39.93,4.21
41.74,2.4,0.1,4.01,5.82
28.29,2.3,0.11,3.01,5.22
21.67,1.39,0.24,5.22,3.01
8.23,1.56,0.34,2.81,0.8
36.32,2.51,0.48,17.46,3.01
55.99,1.17,0.33,18.26,2.01
71.44,1.72,0.18,13.04,2.01
52.98,1.53,0.22,11.84,3.81
40.94,1.35,0.18,7.42,3.21
31.71,2.66,0.35,11.04,5.22
22.07,2.24,0.32,7.02,3.41
20.07,2.17,0.14,2.81,1
20.07,2.03,0.14,2.81,1
43.14,1.38,0.31,13.44,1.61
55.99,1.98,0.45,25.28,2.81
33.91,2,0.23,7.83,6.82
59,1.95,0.69,40.94,6.02
41.74,0.63,0.26,11.04,3.21
33.71,1.34,0.05,1.61,2.01
22.07,2.34,0.11,2.41,3.01
18.86,2.95,0.44,8.23,1.61
29.7,2.36,0.28,8.23,1
55.99,1.83,0.27,15.05,3.21
96.52,4.96,0.38,36.52,2.01
60,3.45,0.06,3.81,11.04
30.5,4.53,0.11,3.21,7.83
17.86,4.58,0.7,12.44,3.81
28.09,4.9,0.78,21.87,2.01
51.97,4.26,0.81,42.34,2.01
100.13,3.76,0.31,31.1,9.03
50.37,3.05,0.13,6.42,8.03
32.91,2.22,0.23,7.42,9.03
15.85,1.81,1.06,16.86,5.42
28.9,3.07,0.81,23.28,3.61
50.37,3.28,0.36,18.06,2.01
63.41,5.67,0.21,13.04,1.61
85.08,4.81,0.21,18.06,2.01
55.99,4.39,0.15,8.23,1.61
32.11,5.8,0.14,4.41,4.41
24.28,3.87,0.05,1.2,3.41
15.85,6.78,0.11,1.81,2.81
34.92,1.62,0.36,12.64,2.21
24.68,1.9,0.39,9.63,2.21
39.93,1.34,0.36,14.25,1.4
40.33,1.55,0.21,8.43,2.21
19.47,1.43,0.2,3.81,1.61
