 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
9.83,0.73,0.27,2.61,0.4
8.83,1.02,0.36,3.21,0.2
13.24,1.24,0.53,7.02,0
19.87,1.18,0.24,4.82,0.6
17.86,0.29,0.19,3.41,0.8
12.24,0.79,0.95,11.64,1
12.64,0.94,0.43,5.42,3.41
16.25,0.5,0.2,3.21,2.41
12.44,0.83,0.23,2.81,0.6
10.03,0.66,0.2,2.01,2.01
7.42,0.69,0.3,2.21,2.81
7.42,0.53,0.22,1.61,1.81
7.22,0.55,0.31,2.21,1
12.04,0.24,0.63,7.63,0.4
14.85,0.65,0.26,3.81,0.4
13.24,0.54,0.21,2.81,0.2
12.44,0.37,0.24,3.01,0.2
12.44,0.33,0.21,2.61,0.6
11.64,0.32,0.41,4.82,1
14.25,0.61,0.73,10.43,1.4
23.28,0.45,0.28,6.62,0.6
27.89,0.47,0.32,8.83,0.2
32.91,0.35,0.18,6.02,1.61
24.88,0.12,0.07,1.81,0.8
10.64,0.16,0,0,1
2.61,0.29,0.46,1.2,1
4.21,0.51,0.19,0.8,0.6
4.01,0.55,1.15,4.62,0.8
11.44,0.57,0.68,7.83,1
15.05,0.57,0.48,7.22,0.4
20.27,0.38,0.25,5.02,0.6
16.45,0.22,0.17,2.81,0.2
9.03,0.22,0.29,2.61,0.8
9.63,0.28,0.23,2.21,1
9.83,0.31,0.37,3.61,0
15.45,0.54,0.58,9.03,0
14.85,0.34,0.19,2.81,0.4
15.05,0.31,0.19,2.81,2.21
13.44,0.78,0.82,11.04,2.01
27.09,0.71,0.47,12.84,0.4
24.08,0.34,0.15,3.61,1.4
18.46,0.25,0.2,3.61,2.61
6.42,0.33,0.06,0.4,2.21
1.4,0.28,0.57,0.8,1.2
2.61,0.22,0.23,0.6,3.01
5.62,0.59,0.79,4.41,0.4
10.64,0.68,0.4,4.21,1
25.28,0.5,0.33,8.43,0.8
4.82,0.19,0,0,1.81
1.81,0.42,0,0,0.4
0.6,0.29,0,0,0.2
2.21,0.29,0.36,0.8,0
4.41,0.44,0.73,3.21,0
12.04,0.26,0.28,3.41,1.2
12.24,0.33,0.18,2.21,0.8
NaN,NaN,NaN,NaN,NaN
22.68,0.32,0.2,4.62,0.6
33.51,0.83,0.57,19.06,1.4
2.81,0.21,0.07,0.2,1
2.41,0.73,0.58,1.4,5.82
0.6,0.67,1.67,1,1.61
5.42,0.61,0.41,2.21,0
3.61,0.67,0.5,1.81,0.6
22.07,0.43,0.54,11.84,0.2
25.28,0.86,0.6,15.05,0.6
34.11,0.81,0.37,12.64,0.4
37.73,0.75,0.39,14.65,0.2
55.59,0.62,0.28,15.65,0.4
40.74,0.25,0.13,5.42,3.61
11.64,0.3,0.16,1.81,6.02
10.03,0.18,0.18,1.81,4.41
8.23,0.15,0.02,0.2,2.81
2.81,0.22,0.43,1.2,1
6.42,0.34,0.72,4.62,0.8
9.03,1.6,0.31,2.81,0.6
