 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
7.42,1.23,0.03,0.2,0
15.65,0.12,0.23,3.61,0
16.86,0.58,0.02,0.4,0
7.83,0.28,0.67,5.22,0.8
12.84,0.17,0.09,1.2,0.4
15.65,0.22,0.05,0.8,0
14.25,0.41,0.2,2.81,0
22.07,0.15,0.06,1.4,0.8
26.89,0.19,0.02,0.6,0.8
16.05,0.54,0.45,7.22,1
30.9,0.3,0.31,9.63,0.8
20.27,0.22,0.1,2.01,0
20.07,0.34,0.49,9.83,3.01
25.69,0.26,0.02,0.6,1
21.67,0.77,0.83,18.06,1.4
31.91,0.34,0.19,6.22,3.61
20.87,0.23,0.04,0.8,2.61
12.24,0.84,0.69,8.43,2.81
22.88,0.91,0.91,20.87,4.21
38.73,0.26,0.04,1.61,1.81
11.24,0.36,0.27,3.01,4.21
28.9,0.35,0.5,14.45,0.8
43.95,0.41,0.28,12.24,0.4
29.5,0.24,0.2,6.02,1.81
21.27,0.21,0.19,4.01,1.2
29.9,0.25,0.29,8.63,2.21
30.1,0.31,0.24,7.22,5.02
28.7,0.32,0.27,7.63,2.21
19.87,0.28,0.19,3.81,1
37.73,0.11,0.17,6.42,2.61
25.89,0.28,0.08,2.01,3.01
12.04,0.27,1.23,14.85,3.61
25.69,0.25,0.17,4.41,1.4
19.26,0.11,0.11,2.21,1.2
5.42,0.44,0.41,2.21,1.61
10.23,0.14,0.22,2.21,0.4
16.25,0.3,0.3,4.82,2.61
15.25,0.38,0.33,5.02,1.81
16.86,0.29,0.05,0.8,2.01
23.88,0.47,0.29,6.82,1.4
20.07,0.46,0.27,5.42,2.21
18.26,0.46,0.2,3.61,2.01
9.43,0.52,0.3,2.81,2.01
19.47,0.51,0.4,7.83,2.21
19.87,0.4,0.24,4.82,1.2
11.64,0.43,0.45,5.22,1
26.89,0.61,0.36,9.63,1.61
40.74,0.36,0.32,12.84,0.4
34.72,0.18,0.09,3.21,0
18.26,0.18,0.15,2.81,0.2
7.22,0.28,0.11,0.8,0.4
5.02,0.82,0.44,2.21,2.21
10.23,0.38,0.59,6.02,0.4
15.25,0.39,0.49,7.42,0
30.7,0.27,0.14,4.21,0.4
28.7,0.31,0.08,2.21,0
16.25,0.4,0.14,2.21,0.8
8.83,0.24,0.05,0.4,1.61
2.61,0.23,0.46,1.2,0.4
10.23,0.53,0.59,6.02,1.2
18.26,1.13,0.87,15.85,4.41
42.94,0.67,0.21,8.83,1.4
36.72,0.36,0.18,6.62,2.61
26.89,0.23,0.14,3.81,1.81
13.44,0.16,0.06,0.8,2.21
4.41,0.25,0.55,2.41,1
6.62,0.93,0.7,4.62,9.03
11.24,0.94,0.57,6.42,4.21
28.5,0.71,0.23,6.62,0.4
24.48,0.41,0.2,5.02,1.4
27.89,0.46,0.29,8.03,7.02
19.67,0.32,0.07,1.4,4.01
9.63,0.3,0.19,1.81,3.81
15.25,0.83,0.88,13.44,5.02
22.27,0.6,0.26,5.82,2.01
18.26,0.72,0.29,5.22,0.6
27.09,0.68,0.21,5.82,1
21.47,0.3,0.03,0.6,1.4
9.23,0.29,0.07,0.6,1
10.43,0.44,0.46,4.82,1.2
12.64,0.29,0.14,1.81,0.6
11.84,0.3,0.29,3.41,3.21
9.63,1.23,0.27,2.61,0.4
21.27,0.69,0.42,8.83,0.4
27.49,0.53,0.16,4.41,0.4
26.49,0.44,0.21,5.62,1.4
23.08,0.5,0.23,5.22,0.6
15.85,2.12,0.25,4.01,1.81
29.1,0.79,0.14,4.01,2.01
26.89,0.24,0.09,2.41,0.6
5.22,0.51,0.54,2.81,3.61
17.26,0.58,0.47,8.03,2.61
26.89,0.5,0.34,9.23,1.2
30.9,0.63,0.18,5.62,1.2
20.47,0.27,0.03,0.6,1.61
8.83,0.27,0.07,0.6,0.6
9.03,0.95,0.2,1.81,1.2
17.66,0.96,0.39,6.82,1
48.16,0.5,0.16,7.83,1
35.32,0.28,0.1,3.41,0.4
14.65,0.39,0.16,2.41,0.8
19.67,0.36,0.18,3.61,0.4
5.42,0.42,0.19,1,0.4
1.61,0.44,0.5,0.8,0.4
20.27,0.74,0.51,10.43,2.81
25.28,0.51,0.27,6.82,0.8
33.71,0.22,0.06,2.01,0.6
14.45,0.33,0.19,2.81,1.2
25.49,0.36,0.15,3.81,1.4
11.24,0.33,0.21,2.41,0.8
15.65,0.43,0.21,3.21,1.61
6.02,0.32,0.07,0.4,0.8
18.06,0.31,0.23,4.21,2.81
15.25,0.47,0.28,4.21,0.6
9.63,0.32,0.19,1.81,0.6
6.62,0.3,0.21,1.4,0.8
7.63,0.47,0.47,3.61,1
8.03,0.74,0.33,2.61,1
34.72,0.36,0.16,5.42,0.4
7.83,0.27,0.15,1.2,1.2
14.25,0.44,0.34,4.82,1.2
22.27,0.36,0.11,2.41,1.61
15.45,0.27,0.12,1.81,0.4
5.62,0.28,0.25,1.4,0.8
7.63,0.18,0.13,1,0.6
8.03,0.48,0.35,2.81,1.2
18.06,0.61,0.34,6.22,0.8
25.49,0.64,0.28,7.22,0.8
18.86,0.36,0.05,1,0.6
