 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
15.25,0.51,0.37,5.62,0.8
14.25,0.63,0.17,2.41,1.2
24.28,0.58,0.26,6.22,0.4
24.88,0.36,0.14,3.41,1
11.64,0.23,0.22,2.61,1.2
9.43,0.51,0.38,3.61,0.4
10.43,0.31,0.04,0.4,0.4
6.02,0.61,0.2,1.2,0
6.22,0.3,0.29,1.81,0
7.22,0.5,0.33,2.41,0
11.44,1.48,0.09,1,0.4
13.65,0.45,0.09,1.2,0
14.85,0.39,0.18,2.61,0
17.26,0.27,0.13,2.21,0
12.84,0.51,0.2,2.61,0
25.08,0.43,0.16,4.01,0.4
16.66,0.26,0.07,1.2,0.6
17.86,0.17,0.09,1.61,0.4
5.02,0.24,0.28,1.4,6.42
4.41,0.29,0.32,1.4,0
8.43,0.32,0.19,1.61,0.4
4.41,0.26,0.18,0.8,0.2
4.21,0.31,0.19,0.8,0
0.4,0.33,1,0.4,1
11.84,0.42,0.37,4.41,0.4
26.09,0.39,0.16,4.21,0
28.7,0.26,0.13,3.81,0
4.41,0.17,0.09,0.4,0
9.23,0.34,0.17,1.61,1
11.44,0.45,0.28,3.21,0.6
11.44,0.43,0.44,5.02,0
18.26,0.37,0.24,4.41,0.8
18.46,0.4,0.18,3.41,0.4
23.08,0.31,0.15,3.41,0.2
13.24,0.1,0.14,1.81,0
5.62,0.25,0.14,0.8,1.61
6.42,0.3,0.44,2.81,0.6
3.41,0.27,0.35,1.2,0.2
1.4,0.35,0.14,0.2,0
10.23,0.39,0.33,3.41,0.4
14.45,0.24,0.08,1.2,0
13.04,0.17,0.08,1,0
10.03,0.33,0.06,0.6,0.4
8.63,0.32,0.21,1.81,0
9.63,0.2,0.25,2.41,0
