 rotifers (animals/ml), algae (10^6 cells/ml), egg-ratio, eggs (per ml), dead animals (per ml)
5.02,7.04,0,0,3.01
1.2,6.43,0.33,0.4,0.2
2.21,6.14,0.27,0.6,0.2
7.83,6.03,1.03,8.03,0.8
17.46,5.07,0.84,14.65,2.01
36.92,1.54,0.73,26.89,8.43
81.67,0.38,0.33,26.89,8.43
43.75,0.12,0.02,1,11.84
17.26,0.11,0.1,1.81,2.21
13.85,0.24,0.3,4.21,2.21
10.43,0.38,0.48,5.02,0.4
17.06,0.49,1,17.06,1.61
47.16,0.48,0.69,32.31,6.02
75.05,0.23,0.21,15.65,1.61
55.59,0.15,0.09,5.02,6.02
12.44,0.22,0.16,2.01,5.82
27.09,0.28,0.64,17.26,14.65
16.66,0.26,0.53,8.83,3.21
23.08,0.56,0.06,1.4,8.03
32.51,0.83,0.81,26.49,3.61
84.28,0.28,0.14,11.64,4.21
71.44,0.24,0.03,2.01,4.21
47.36,0.24,0.15,7.22,7.63
34.31,0.22,0.18,6.02,5.62
17.66,0.26,0.41,7.22,3.01
11.64,0.36,0.29,3.41,1.61
11.84,0.67,0.8,9.43,4.01
32.91,0.54,0.46,15.25,1.61
42.14,0.35,0.65,27.49,2.41
57.99,0.17,0.09,5.22,1.61
33.91,0.17,0.02,0.8,4.21
13.65,0.31,0.07,1,1.61
11.24,0.61,0.55,6.22,1
18.46,0.68,0.18,3.41,0.4
34.31,0.42,0.46,15.65,2.81
52.37,0.41,0.16,8.43,1.81
40.74,0.2,0.13,5.22,2.61
27.29,0.26,0.06,1.61,2.81
8.23,0.36,0.8,6.62,2.21
15.65,0.66,0.35,5.42,3.21
22.48,1.27,0.65,14.65,2.81
46.15,0.85,0.67,30.7,1
88.5,0.52,0.46,40.94,2.81
67.63,0.11,0.06,4.21,4.62
29.9,0.26,0.05,1.4,17.66
7.42,0.35,0.11,0.8,4.21
3.61,1.33,0.28,1,2.41
9.63,2.2,0.81,7.83,0.6
27.89,1.92,0.6,16.66,0.8
57.79,1.11,0.57,32.71,3.01
90.3,0.33,0.17,15.25,2.81
49.77,0.14,0.15,7.42,4.01
30.1,0.18,0.05,1.61,4.01
11.44,0.98,0.82,9.43,5.02
22.68,1.93,0.5,11.24,4.41
32.91,2.26,0.15,4.82,4.62
39.33,2.78,1.12,43.95,3.21
58.19,3.02,0.25,14.65,7.22
45.75,1.62,0.04,1.61,5.02
22.27,1.51,0.11,2.41,7.83
7.42,2.1,0.05,0.4,5.02
8.43,8.2,0.76,6.42,2.81
13.65,8.26,0.41,5.62,0.8
25.28,7.5,0.43,10.84,0.4
66.62,3.32,0.33,22.07,3.61
84.88,1.74,0.16,13.65,2.81
53.58,1.7,0.07,4.01,2.01
24.48,1.88,0.14,3.41,2.61
14.65,5.95,0.33,4.82,5.42
36.92,4.24,0.37,13.65,0.6
68.63,3.7,0.49,33.71,2.01
86.09,2.02,0.14,11.64,4.41
36.32,3.26,0.03,1.2,9.43
16.86,2.94,0.2,3.41,3.61
6.62,3.07,0.39,2.61,1.61
12.24,3.43,0.21,2.61,2.01
22.68,2.39,0.45,10.23,2.21
35.72,4.03,0.82,29.3,2.41
88.5,2.21,0.35,31.3,4.01
82.68,3.82,0.05,4.01,3.41
21.87,2.71,0.03,0.6,4.21
11.04,1.92,0.22,2.41,10.03
7.02,2.42,0.71,5.02,4.82
19.87,2.95,0.61,12.04,4.21
56.19,5.42,0.6,33.51,2.61
107.96,2.89,0.18,19.87,4.01
52.98,2.95,0.09,4.82,13.85
23.28,1.97,0.07,1.61,10.23
7.02,1.55,0.91,6.42,5.42
5.42,5.65,0.33,1.81,1.4
21.07,5.74,0.43,9.03,5.02
57.39,3.78,0.66,37.93,0.8
153.31,4.68,0.19,28.5,3.01
59.8,4.71,0.01,0.8,19.26
24.88,6.75,0,0,11.64
7.83,5.21,0,0,3.01
9.63,3.89,0.81,7.83,3.01
21.67,5.77,0.72,15.65,2.01
70.03,4.97,0.36,25.08,3.01
113.78,1.55,0.09,10.03,1.61
